Title,,,,cities,categories,Question
ロサンゼルスでの就労をめざしています,,,,ロサンゼルス,仕事,"日本国内より投稿しております。

就労ビザなどは取得出来ないと思いますので、３ケ月程度のお手伝いでお仕事を頂ける方を探しております。
英語は日常会話などもまともに出来ませんがなんでも良いのでお仕事が頂けると幸いです。

将来的にはビザを所得して就労出来る様にと考えております。

業務内容は飲食店、引っ越しやシッパー、買い付けや事務などなんでも頑張りたいと思っておりますが
観光ビザでシェアハウスに居住して収入を得る事などはやはり不可能でしょうか？"
カートコバーンゆかりの地へ行きたい,,,,シアトル,観光・レジャー,シアトルのカートコバーンの生家や生前やっていたライブハウスなどゆかりの地をおとずれてみたいのですが、なんせ国内どこでも迷子になるくらいの方向オンチです。海外旅行経験もないので、どうやって行ったらいいのか調べても考えてもわかりません。以前旅行外会社に問い合わせたら、シアトルは添乗員付きはまずないとのこと。調べて見てもそうでした。とにかく飛行機に乗るところからひとりは無理だし、ましてや地図が読めないし英語も話せないのでカートゆかりの地を回るのは絶望的かと落胆しています。どなたかかわりやすく説明して下さる方か、お手伝いして下さるかたがいれば幸いと思って書かせてもらいました。できればポーランドの...
皆さんはどのようにして仕事をアトランタで探しましたか？,,,,アトランタ,仕事,皆さんはどのようにして仕事をアトランタで探しましたか？
アメリカで起業した方々に成功の秘密をお聞きしたいです。,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,仕事,アメリカで起業した方々に成功の秘密をお聞きしたいです。
ダラスでおすすめのCar Dealerを教えてください,,,,ダラス,生活,"ダラス内でおすすめのCar Dealerをご存知の方いらっしゃれば教えていただけますでしょうか。
アメリカでのクレジットヒストリーがまだない状態なので、それでもそれなりの条件で対応してくれるDealerを探しています。

ご存知の方いらっしゃいましたら、どうぞ宜しくお願いします。"
小学校 自閉症スペクトラムについて,,,,ヒューストン,育児・子育て,こんにちは。旦那な転勤でヒューストンに住む予定の者です。お子さんなどいらっしゃる方でご存知の方がいたら幸いです。小4 小1の子供がいます。（英語は話せません。） 下の子が自閉症スペクトラムで、対応している小学校を探しています。wilchester elementaryという小学校は対応しているのを見ました。どこか他にもどなたかご存知の方いらっしゃりますでしょうか？宜しくお願い致します。
あなたはオハイオ州に住んでいる間、あなたやあなたの家族...,,,,コロンバス,留学,あなたはオハイオ州に住んでいる間、あなたやあなたの家族のために良い親身な家庭教師がいると感じますか？ そうでない場合は、daniel.stone@onestonelearning.comまでご連絡ください。 日本語はOKです！
ラスベガス Torut釣り場,,,,フェニックス/ロサンゼルス/サンディエゴ/ラスベガス,観光・レジャー,"今度 子供を連れてラスベガスから日帰りでTorut 釣りに行きたいのですが、どなたか良い釣り場教えて下さい！
 釣りに関して素人なので、釣ったことがある方 仕掛けを教えて頂けますでしょうか？
宜しくお願い致します！！"
日本に繋がりのある弁護士を教えて下さい。,,,,ダラス/ヒューストン,生活,日本在住です。日本語ができる、もしくは日本と繋がりがあり、個人間問題を扱っている弁護士の方を教えて下さい。宜しくお願いします。
どうやって仕事を探しているのか。 良いサイト、あれば教...,,,,ニューヨーク,仕事,どうやって仕事を探しているのか。 良いサイト、あれば教えてください！
テンプル大学,,,,フィラデルフィア,留学,こんにちは。 甥っ子が、この夏テンプル大学に短期留学します。大学から南に歩いて15分くらいの、broad st沿いのair b & bを借りるのですが、あまり治安が良くなさそうで心配です。行ってはいけない場所など、何か気をつける事はありますか？
日本人のプラマーさんやガーデナーさんを探しています。,,,,ラスベガス,生活,ラスベガスに住み始めましたが、古い家で排水や庭の管理に困っています。細かいお願いが出来る日本人のプラマーさんやガーデナーさんがいらっしゃるととても助かりますが、なかなか見つかりません。もしご紹介頂けるとありがたいです。不躾なお願いごとで恐縮ですが、お教え頂ければ幸いです。御返事お待ちしております。よろしくお願い致します。
やっぱりロサンゼルスは車社会ですか？,,,,ロサンゼルス/サンフランシスコ,観光・レジャー,やっぱりロサンゼルスは車社会ですか？
シアトルで教員になりたいのですが,,,,シアトル,仕事,"シアトルで教員をされている方、どのようなプロセスで成功されたのか教えていただけませんでしょうか？

シアトルの公立の小中学校でESLまたは日本語の教員になるにはやはりワシントン州の教員テストに受かるだけでは難しいでしょうか？日本では4年生の大学を卒業し、中学高等学校の英語科教員免許を取得しました。今大学の単位換算機関に依頼しているところです。でも、やはりこちらの大学に出た方ではないと採用される確率は低いのでしょうか？"
ニューヨークにて日本の陶器販売について,,,,ワシントン/ニューヨーク,仕事,こんにちは。ニューヨークで日本の陶器販売を行いたいと思っています。陶器自体は日本国内でもかなり知名度のあるブランドとなります。ターゲットとしてはニューヨークで年収が1500万（円）前後の在住者となります。そこでお聞きしたいことは、ニューヨークで陶器（少し高額の普段使いとして）需要があるか？どのような販促ツールのデザインが好まれるか？（たとえばカタログやホームページのデザインなど）ターゲットとなりうるターゲット層の趣味趣向など、マーケティングに関わる全般の様々な情報を提供いただければ幸いです。 宜しくお願いいたします。
シアトルの日本人コミュニティー向けに会ったらよいと思う...,,,,シアトル,生活,シアトルの日本人コミュニティー向けに会ったらよいと思うサービスなど。
How to make a friend?????,,,,ニューヨーク,生活,How to make a friend?????
お勧めの住居エリアを教えてください。,,,,ボストン,住居,こんにちは。現在フロリダ州タンパベイ・エリアに在住しています。最近旦那はボストンのState...
会社の登記事項証明の取り方が知りたいです,,,,ニューヨーク,生活,"州によって違うかもしれませんが、会社登記事項証明書の取り方が知りたいです。ネットでも取得可能でしょうか？特にユタ州の会社登記証明の取り方が知りたいです。

inkline76@gmail.com"
貸画廊,,,,ニューヨーク,日本美術,"こんにちは。
大阪在住の日本美術の画家です。

来年、ニューヨークかボストンにて現代の掛軸の展覧会をさせて頂きたいと思っております。
もし、貸画廊があればご紹介下さい。
7月に、ニューヨーク・ボストンを訪れる予定です。"
12歳以上の中学生に相当する学年の学校生活、放課後の過...,,,,ボストン,育児・子育て,12歳以上の中学生に相当する学年の学校生活、放課後の過ごし方、通学方法についてお聞きしたいです。
医療保険について教えてください,,,,サンフランシスコ,医療,"お世話になります

近い将来にアメリカ人と結婚し、サンフランシスコに移住予定です。移住したのち、永住権から市民権を取るまでは日本国籍であると理解しています。皆さんに教えていただきたいのですが、日本からアメリカに移住されたとき、医療保険はどうされましたか？日本国籍の間は日本の医療保険（海外でも使える）に加入されていましたか？それともすぐ、アメリカの医療保険に加入をされましたか？（出来るものなのですか？）

在住者さまはどうされたか、どうしたらよいのか、教えてください。
よろしくお願いいたします。"
ボストンには、何人ぐらいの日本人が住んでいるのですか？...,,,,ワシントン/ボストン/ニューヨーク,住居,ボストンには、何人ぐらいの日本人が住んでいるのですか？あまり日本人と住んでいる経験がないので、どちらかというと、日本人から少し離れた場所の方がよいかと悩んでいます。日本人がよく集まる場所とかってあるんですか？
おすすめのローカルスポット,,,,ダラス,観光・レジャー,初めまして。Taikiと申します。 ブログを拝見させていただき、ご連絡させていただきました。 今度12/29〜1/2まで妻、子(1歳9ヶ月)とDallas、Fort Worthを旅行します。 テキサスには今まで一度も行ったことがないのですが、おすすめの観光場所があったら教えていただけますとありがたいです。...
生活してみて、どんなところが楽しいですか。,,,,ミシガン,生活,生活してみて、どんなところが楽しいですか。
求む！（アイディア）アメリカ版の楽天,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,仕事,アメリカ国内むけに洋服を扱うECサイトをオープンしたいと考えているのですが、日本で言う楽天の様なマーケットプレイスがあれば教えていただけませんでしょうか？ 女性＆男性むけのオンラインセレクトショップです。
日本人経営・日本人スタッフのいるペットショップ・ペットサロン,,,,ニューヨーク,生活,ニューヨークで日本人が経営するペットサロン・ペットショップ、もしくは日本人トリマーがいるペットサロンがあれば教えて下さい。どうぞよろしくお願いいたします。
・ＮＹＣでの住居の理想と現実を聞きたいです。（　家賃や...,,,,ニューヨーク,住居,・ＮＹＣでの住居の理想と現実を聞きたいです。（　家賃や間取り等も含めて） ・「アメリカンドリーム」について何でも。
浴衣の着付けが出きる所を教えて下さい。,,,,ラスベガス,生活,今月６日から４泊でラスベガスのベラッジオホテルに４泊します。 浴衣等一式は持参するのですが浴衣の着付けをお願い出きるところを探しています。 KIMONOSK　と言う所は見つけてメールをしたのですが返事がありません。 お手数ですがどこかご存知ならば教えて下さい。
健康に関する不安や心配がありますか？病気や体調不良に悩...,,,,ニューヨーク,医療,健康に関する不安や心配がありますか？病気や体調不良に悩んでいたりしませんか？
マツエク資格は❓,,,,ホノルル,仕事,ハワイでマツエクを施術する為に公的な資格は必要ですか？
どうやって、毎日の生活の中で英語を上達させられますか,,,,ホノルル,生活,どうやって、毎日の生活の中で英語を上達させられますか
シアトル市内で美味しいラーメン屋さんをご存知の方いらっ...,,,,シアトル,グルメ,シアトル市内で美味しいラーメン屋さんをご存知の方いらっしゃいますか。 情報を頂けると助かります。
ボストン美術館近辺の画廊,,,,ボストン,日本美術,こんにちは。 大阪在住の日本美術の画家です。 ボストン美術館には、たくさん掛軸がございます。 私は、ボストンにて現代の掛軸の展覧会をさせて頂きたいと思っております。 もし、美術館近辺の貸画廊があればご紹介下さい。 近々、ボストンを訪れる予定です。
一週間以上の滞在で年配の方は、どのようにすごされていま...,,,,ホノルル,生活,一週間以上の滞在で年配の方は、どのようにすごされていますか？特に食事とかどうされてますか？
Family child care/ナニーさんを探しています,,,,ボストン,育児・子育て,"今年の秋、出産予定の者です。産休が2ヶ月ほどしかないため、現在、安心して子供を預けることができるFamily child careやナニーさんを探しています。もし、よいFamily child careやナニーさんをご存知の方がいらっしゃいましたら、是非、教えて頂ければ幸いです。

宜しくお願い致します。"
高校生です。ビザについて教えてください！,,,,ロサンゼルス/サンフランシスコ,ビザ,工業高校建築科の三年生です。 将来、アメリカに移住して、働きたいと思っています。 ビザについて、詳しく知らないのでぜひ教えて欲しいです。永住ビザ？はどうしたら取れるのでしょうか？ 高卒で正社員で働くのは難しいですか？再就職という形で行くしかないのでしょうか？
起業家の集まるネットワークやコミュニティがあれば教えて...,,,,ボストン,住居,起業家の集まるネットワークやコミュニティがあれば教えてください！ あと、一人暮らし、ベットありのアパートの家賃の相場はいくらくらいなんでしょう。
ロサンゼルスのTorrance.Gardena 近辺で...,,,,ロサンゼルス,留学,ロサンゼルスのTorrance.Gardena 近辺で夜間の語学学校を探しています。少し遠くなってしまっても大丈夫なので、夜間の語学学校の情報をお持ちの方がいらっしゃいましたら情報を提供していただけるとありがたいです。。。 もしくは、学校に通う日数が少なくてもＩ‐２０を維持できる学校を探しています。 何か情報のある方いらっしゃいませんか(´;ω;｀)？？
最近一番おいしいと思う食べ物はどこのお店の何でしょう?,,,,ニューヨーク,グルメ,最近一番おいしいと思う食べ物はどこのお店の何でしょう?
いいヴィンテージショップとコスメショップを教えてください。,,,,ニューヨーク,その他,いいヴィンテージショップとコスメショップを教えてください。
サンフランシスコで日本語の通じる美容院、バレエ,,,,サンフランシスコ,生活,はじめまして 初めての投稿です。 結婚してSFに移住する予定です。英語があまり話せませんので日本語の通じる美容院やバレエ教室を探しています。 誰に相談してよいかわからず、困っていたところ、こちらのサイトを知って投稿させていただきました どなたか、良い情報があればアドバイスをお願いいたします。
ドライブコースとして,,,,シアトル,観光・レジャー,１０日程度でシアトルをこの夏訪問する予定なのですが、その期間でマウントレーニエ、オリンピック国立公園、カスケードループを全てまわるのは日程的には無理でしょうか
シアトルに住んでいます。Los Angelesとどちら...,,,,ロサンゼルス,生活,シアトルに住んでいます。Los Angelesとどちらが住みやすいか検討中です。ちなみに中高年の女性です。
吉本芸人さんとの日本紹介動画の協力依頼,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,日本紹介動画,"こんにちは。私、東京在住のSakoともうします。

現在、日本文化を紹介するYoutubeチャンネルを日本の吉本クリエイティブエージェンシーのお笑い芸人の方と作成しております。

皆さんにご協力して頂きたい事が2つあります。
1. 動画に対するフィードバック、
2. 皆さんの住む地域の人々は日本の何を好み、何を知りたがっているのか、教えて頂けないでしょうか。

エピソード１: https://www.youtube.com/playlist?list=PLDM-bMKcamupzULJiz4YFTBIrJKML98Cw
エピソード2:..."
山と海が近く緑が多く静かです。 おしゃれな街。,,,,ポートランド,住居,山と海が近く緑が多く静かです。 おしゃれな街。
８−9月まで６歳と２歳の子供を連れて短期滞在します。サ...,,,,ボストン,育児・子育て,８−9月まで６歳と２歳の子供を連れて短期滞在します。サマースクールや、現地での学校入学等、情報いただけるとありがたいです。
アメリカから、日本のお土産は何が一番嬉しいですか？？,,,,ロサンゼルス,観光・レジャー,アメリカから、日本のお土産は何が一番嬉しいですか？？
ミュージカルキャストについて聞きたいです！！！,,,,ニューヨーク,仕事,こんにちは！ とてもnyに興味があり、いますぐにでもnyで仕事をしたいと思っています。 現在ダンスのインストラクターをしており教えることや、体を動かすこと、体で表現が得意です。 インストラクターやミュージカルのキャストの仕事を探しています。 しかし、このような仕事がほとんど無いのが残念です。。。 ミュージカルのキャストをするには、どのようなことをすればよろしいでしょうか？ また、nyで働いていらしゃる方のお話を聞きたいです。 私はnyに住み働きたいです！ いい方法聞きたいです。
最近引っ越してきたものです。 オススメの美容院を教えて...,,,,ボストン,生活,最近引っ越してきたものです。 オススメの美容院を教えてください。 よろしくお願いします。 ヘアカット、カラー、縮毛矯正など
2017年8月よりミシガンに引越し予定です。西海岸に6...,,,,ノバイ,生活,2017年8月よりミシガンに引越し予定です。西海岸に6年間住み、今回仕事の都合によりミシガンに移ることになりました。治安の面や、交通、買い物など、ノバイが住みやすい地域だと聞きましたが、オススメのエリア、アパートなどありましたらアドバイスを頂けたら助かります。また、ルームメイトを募集している日本人の方がいらっしゃいましたらご連絡下さい。
領事館付近の情報ください,,,,ポートランド,観光・レジャー,"近々、オレゴン州ポートランドへ行きます。
領事館に用事があり、2白3日の予定で南オレゴンから車で行きます。
領事館付近のホテル情報を教えてください。

観光、買い物、おすすめのレストランについても情報お願いします。領事館付近でなくても結構です。
買い物は、ベビー、トドラーの服を主に買いたいです。普段は、H&MやGAP、トミーなどで買います。雑貨など、ウィンドウショッピングも好きです。
食事は、持病があるのでヘルシーなもの、例えば、有機野菜使用、玄米、全粒粉のパスタ、パンなどが食べられるカフェ、レストランなど。
日本食スーパーにも立ち寄る予定です。
情報提供お願いします。"
FIFTH THIRD BANK,,,,デトロイト/ノバイ,生活,"こんにちは。
日本に帰ってきて１０年になります。
FIFTH　THIRDの口座が残っており、この度閉じようと思うのですが
当時の担当者（日本人）がいなくなってしまいました。
どなたか、現在の日本語窓口などおわかりでしたら教えていただきたく。

よろしくお願いします。"
ハワイの写真をシェアしてくださいませんか？,,,,ホノルル,観光・レジャー,"ロサンゼルスで、新しくはじまる会社で、全米の街の紹介をソーシャルメディアで行っていますが、ハワイの写真と情報がどうして少ないので、ハワイ在住の方で、風景やお店の写真など、シェアしてもいいよっていう方、ぜひご連絡ください。

すぐにお礼をすることはできないと思うのですが、私個人もハワイが大好きなので、この情熱と思いに共感いただけると本当に感謝です。一度、ご連絡ください。ありがとうございます。"
ニューヨークでボイストレーニングを受けれる所を知ってた...,,,,ニューヨーク,生活,ニューヨークでボイストレーニングを受けれる所を知ってたら、情報提供お願いします！！どんなジャンルでも構いません！！
シャワーが使える施設を探しています,,,,ニューヨーク,観光・レジャー,５月末にニューヨークに１人旅します。セール中のホテルを取りましたが、後でバスルームが共同で有ることが分かりました。安かったのでキャンセルは返金が有りません。もしもの為にデイユース可能なスポーツジムなどでシャワーを使えるところを知っておきたいです。どなたか情報をお持ちではないですか？
お子さんの宿題はどうなさっていますか？,,,,コロンバス,育児・子育て,お子さんの宿題はどうなさっていますか？
この秋に初めてNYへ三か月ほど短期留学する予定です。1...,,,,ニューヨーク,住居,"この秋に初めてNYへ三か月ほど短期留学する予定です。1歳の子供を連れて初めてのNYです。部屋を探しているのですが、どのあたりだと便利良く家賃もさほど高くなく安全で部屋を借りれそうでしょうか。

また、安くても滞在しない方が良いエリアはどのあたりでしょうか。

初歩的な質問ですみませんが、教えて頂けましたら幸いです。学校はマンハッタンにあります。"
現地の方の家でホームステイ希望,,,,ニューヨーク,生活,"初めまして！
3/３から４/２３までアメリカへ観光しに行きます。
初めの１ヶ月はニューヨークに滞在したいのですが、語学学校にも通いたいので出来れば現地の方の家にホームステイか日本人以外の方とシェアしたいと思っています。
出来るだけ安く、治安がいいとことが希望です。
当方は日本人の女性で綺麗好きな方だと思います。

NYは１０年以上ぶりで、中学程度の語学力しかないので、色んな情報をシェアしていただくと嬉しいです。
活動的な性格なのでジャズやゴスペル、レゲエなんかも聞きに行きたいし、ヨガなんかもやりたいです。

日本人の方も仲良くして頂けると嬉しいです。..."
オレゴンの生活体験をお聞かせください,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ホノルル/ボストン/ニューヨーク/ポートランド/フィラデルフィア/シアトル,生活,"私はNew York,San Francisco, Honolulu, Maui..."
休憩・休みの時、ボストンでのみんなは何をしますか？どこ...,,,,ボストン,生活,休憩・休みの時、ボストンでのみんなは何をしますか？どこへ行きますか？
確定申告,,,,ボストン,留学,確定申告について詳しい方はいらっしゃいますか？ 留学生が間違って提出したフォーム（三年以内）を修正したいですが、国税と州税と両方間違ったので、どうしたらいいですか？わかる方はいらっしゃいますか？
ビザ申請や車の運転など生活に欠かせないことを教えて下さい！,,,,ヒューストン,生活,ビザ申請や車の運転など生活に欠かせないことを教えて下さい！
おすすめのヘアサロンを教えて下さい。サンノゼ近郊です。,,,,サンノゼ,その他,おすすめのヘアサロンを教えて下さい。サンノゼ近郊です。
Santa ClaraもしくはSan Jose近辺でお...,,,,サンノゼ,グルメ,Santa ClaraもしくはSan Jose近辺でお酒が飲めるBBQ場所を探しています。
日本製のカバンを売り込みたい,,,,ニューヨーク,仕事,"こんにちは、大阪の職人が作っているデザイナーズバックを
ニューヨークで売り込みたいと思っています。

セレクトショップなどに声を掛けるのが良いかと思っているのですが、初めてやるので
アドバイスなど貰えると嬉しいです！
よろしくお願いします。"
ボストンに美味しい日本料理屋を教えて頂けませんか。,,,,ボストン,観光・レジャー,ボストンに美味しい日本料理屋を教えて頂けませんか。
日本人の基準に叶う、美味しいレストランはありますか？,,,,コロンバス,生活,日本人の基準に叶う、美味しいレストランはありますか？
韓流ショップ,,,,ホノルル,生活,教えていただきたいのですが、ホノルル、またはオアフ島で韓流スターグッズを販売しているお店や場所、スペースはないでしょうか。 ドンキホーテ（パラママート裏）にも行きましたが、そんなにありませんでした。 ぜひ教えてください。
4月28日午前に成田から到着します。家族3人です。娘小...,,,,ポートランド,観光・レジャー,4月28日午前に成田から到着します。家族3人です。娘小学二年生です。 ラスベガス行きの飛行機が16時半ごろですので、空港からタクシーとかで、おいしいシーフードを 食べに行きたいですが、コロンビアリバー沿いとかに、ワイルドにシーフードをがんがん食べれる 店はありませんか？　もしくはどなたか連れていってくれませんか？
休日をどうお過ごしですか？,,,,ニューヨーク,仕事,休日をどうお過ごしですか？
日本と異なり米国での生活では自分でファイナンスを管理し...,,,,サンフランシスコ/サンノゼ,生活,日本と異なり米国での生活では自分でファイナンスを管理しなくてはいけない部分が多々あります。投資、学資貯蓄、リタイアメント、相続等のシステムが大幅に異なります。一方得られる情報は殆ど英語です。皆様はどう対応されていますか？
家具はどこで買いますか、またどこで売りますか,,,,ニューヨーク,仕事,家具はどこで買いますか、またどこで売りますか
日本からシカゴに留学できており（現在はホームステイ）、...,,,,シカゴ,生活,日本からシカゴに留学できており（現在はホームステイ）、アパートを探していますが、日本人が借りるのは難しいのでしょうか？credit scoreなどありませんので、探すのが困難に感じています。
サンノゼでオススメのレストランを教えてください,,,,サンノゼ/Gilroy  CA,グルメ,サンノゼでオススメのレストランを教えてください
将来アメリカで商売をしてみたいと思ったことはありますか？,,,,サンフランシスコ,仕事,将来アメリカで商売をしてみたいと思ったことはありますか？
１ベットルームで家賃＄１２００ぐらいのところを探してます。,,,,ホノルル,住居,１ベットルームで家賃＄１２００ぐらいのところを探してます。
日本語可の相談機関,,,,ノバイ,恋愛,男性からDVを受けた女性が日本語で相談したり、女性を保護してくれる機関の連絡先や方法を教えてください
ボストン生活でのクレジットカード,,,,ボストン,生活,"2016年4月から、4歳と夫婦で半年間ボストンで暮らします。ハーバード勤務です。クレジットカードを日本で作っていきたいのですが、どこのがいいのでしょうか？
日本のクレジットカードをそのまま使うと割高になると聞いたので、現地でも有利なのを作りたいです。

追伸、家もまだ決まっておりません。短期物件でいいのがあれば、ご案内ください。"
オンラインカレッジについて。,,,,サウスカロライナ,オンラインカレッジ,"アメリカ在住の主婦ですが、アメリカでオンライン大学で短期で資格が取得できるコースって、ありますか？
できれば、詳しく教えてほしいです。
会計学や秘書などを取得したいです。

よろしくお願いします"
運転免許について,,,,アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/シカゴ/ボストン/デトロイト/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,カリフォルニア州で運転する場合、日本の運転免許があっても現地でペーパーテストを受けて実地試験を受けてカリフォルニア州の免許を取得しないといけませんか?どの州もこのようになるのでしょうか?韓国の免許証にように免許書き換えだけでできる州はないですか?分かる方いらっしゃれば教えてください！
シアトルの観光スポットで有名ではないけれどおすすめなと...,,,,シアトル,観光・レジャー,シアトルの観光スポットで有名ではないけれどおすすめなところを知りたいです。
日本人コミュニティーってあるのでしょうか？,,,,サンディエゴ,生活,日本人コミュニティーってあるのでしょうか？
NYで朝の過ごし方、オススメのカフェを教えてください！,,,,ニューヨーク,観光・レジャー,NYで朝の過ごし方、オススメのカフェを教えてください！
ボストンで一番美味しいラーメンやさんはどこだと思いますか？？,,,,ロサンゼルス/サンディエゴ/サンフランシスコ/ワシントン/アトランタ/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル/日本,グルメ,ボストンで一番美味しいラーメンやさんはどこだと思いますか？？
日本から安く購入したい商品はありませんか?,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル/明石市大蔵谷奥,生活,日本から安く購入したい商品はありませんか?
サンノゼエリアを回るのにかかる時間を教えて下さい,,,,サンフランシスコ/サンノゼ,観光・レジャー,"将来、サンノゼで生活をすることを考えています。1月に入ったらサンノゼに行きます。
観光やレストラン巡りではなく、毎日生活する町として自分がどう感じるか知るためです。

エリア全体を見るのにかかる時間はどれくらい必要ですか？（レンタカーを借りるのでどこへも行ける）
1泊だとキツいので、2泊3日か3拍4日を検討しています。充分な時間でしょうか？"
どんなことが不便ですか？ 「こんなところやこんなサービ...,,,,ニューヨーク,生活,どんなことが不便ですか？ 「こんなところやこんなサービスがあったらいいな」と思うのは何ですか？
CUNYのassociate degree をとるのに...,,,,ニューヨーク,留学,CUNYのassociate degree をとるのに大体幾らかかりましたか？どのくらいの期間通いましたか？
WiFi@Mountain Viewについて,,,,サンノゼ,生活,こんにちわ 私はサンノゼ（マウンテンビュー）に引っ越ししてきましたＹＫです。 これまで住んでいたニューヨークとかってがちがうので、サンノゼの先輩方、いろいろ教えてください。 私はマウンテンビューに住みますが、 ①アパートにWiFiを引きたいのですが、このエリアで一番つながりやすいWiFiは何ですか？ ②アパートに引くのと、モバイルWiFiで持ち歩くのと、どちらがよいのでしょうか？ 経験者の方、教えてください。よろしくお願いいたします。 ＹＫ
良心的な料金の移民弁護士を探しています。ビザやグリーン...,,,,ニューヨーク,ビザ,良心的な料金の移民弁護士を探しています。ビザやグリーンカード手続き等ではなく、相談のみです。情報いただければありがたいです。
おむつケースを探しています！,,,,ホノルル,育児・子育て,Huggiesのおむつケースを探しています！ターゲットに行ったのですが全店取り扱い無しでした。ネットショップではなく店頭販売しているお店を探しているのですが、ご存知の方いらっしゃいますか？宜しくお願い致します！
ロサンゼルスでのオススメの語学学校,,,,ロサンゼルス,留学,ロサンゼルスでオススメの語学学校ってどこですか？留学エージェントが紹介してくれる学校で、大体同じで、現地の人だから知っている、みたいなオススメの学校ないですか？
サンディエゴ市内から、レゴランドまでどのようにアクセス...,,,,サンディエゴ,観光・レジャー,サンディエゴ市内から、レゴランドまでどのようにアクセスできますか？また、年末年始期間もやってますか？
移民の為のESLご存じの方いらっしゃいましたら…,,,,ポートランド,生活,アメリカ市民と結婚してポートランドに住んでいます。移民の為のESLに行きたいのですが、PCCのウェブサイトを見ると、留学生の為のESLしかないように思います。（私の英語力不足で見落としてるだけかもしれませんが…） PCCにも移民の為のESLがあるよ～、PCCじゃないけどこういうESLがあるよ～という情報があれば教えていただけると幸いです。移民の為のESLにこだわる理由は費用面ですので、留学生のESLでも居住者だとこのくらいの金額で行けるよ～などの情報もあればよろしくお願いします。
美味しいカレー屋さんが知りたい！,,,,ニューヨーク,グルメ,美味しいカレー屋さんが知りたい！
コンタクトレンズはどうしてますか？乾燥対策は、どうして...,,,,サンフランシスコ,生活,コンタクトレンズはどうしてますか？乾燥対策は、どうしてますか？
マンハッタンの住居の相場はどのくらいですか？ シェアハ...,,,,ニューヨーク,住居,マンハッタンの住居の相場はどのくらいですか？ シェアハウスなどの情報はみなさんどこで見ますか？
渡米前の予防接種について。,,,,フィラデルフィア,医療,お世話になります。現在日本在住でvisaの申請中で来年の八月に渡米予定です。小学三年生の娘(渡米時四年)と共に渡米します。 そこで娘の予防接種について教えて頂きたく、質問を投稿させて頂きました。 現在、BCG、ジフテリア・百日咳・破傷風(三種混合4回)、ポリオ(2回)、麻疹風疹(2回)、日本脳炎(1回)を受けています。...
自由、権利、平等素晴らしいアメリカで活躍したいです。,,,,ロサンゼルス/サンフランシスコ/ワシントン/ホノルル/シカゴ/ボストン/ラスベガス/ニューヨーク/フィラデルフィア/ヒューストン,政治・時事,自由、権利、平等素晴らしいアメリカで活躍したいです。
一番喜ばれたボストン土産は何ですか？,,,,ボストン,生活,一番喜ばれたボストン土産は何ですか？
日本からのみ,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,"日本の友人や家族向けに、ブログかウェブサイトを書きたいと思っています。アメリカ生活はこんな感じ〜っていう感じで。　

しかし、アメリカにいる日本人の友人に見られるのは恥ずかしいです。（実際は、しょぼいです。）

無料のブログかサイトのサービスを使って、しかし日本からしか見れないようにする事ってできますか？
やり方を教えてもらえたらと思います。

アホな質問ですみません。"
